index,level_0,country,year,ktoe,indicator
413,354,BEL,2010,59313.184,Total
414,355,BGR,2010,17748.485,Total
415,356,CYP,2010,2476.303,Total
416,357,CZE,2010,45152.993,Total
417,358,DEU,2010,330303.551,Total
418,359,DNK,2010,19521.311,Total
419,360,EST,2010,5890.553,Total
421,361,ESP,2010,126995.926,Total
423,362,FIN,2010,36250.333,Total
424,363,FRA,2010,264200.164,Total
426,364,HRV,2010,9372.252,Total
427,365,HUN,2010,26362.697,Total
428,366,IRL,2010,14322.257,Total
429,367,ISL,2010,5418.214,Total
430,368,ITA,2010,173677.121,Total
431,369,LTU,2010,7033.141,Total
432,370,LUX,2010,4212.94,Total
433,371,LVA,2010,4511.793,Total
434,372,MDA,2010,2519.738,Total
435,373,MNE,2010,1126.893,Total
436,374,MKD,2010,2874.137,Total
437,375,MLT,2010,836.672,Total
438,376,NLD,2010,82743.78,Total
439,377,NOR,2010,32196.998,Total
440,378,POL,2010,101095.304,Total
441,379,PRT,2010,23505.307,Total
442,380,ROU,2010,34839.395,Total
443,381,SRB,2010,15564.119,Total
444,382,SWE,2010,49753.189,Total
445,383,SVN,2010,7225.88,Total
446,384,SVK,2010,17670.18,Total
447,385,TUR,2010,104128.211,Total
448,386,UKR,2010,132521.249,Total
451,387,ALB,2010,0.0,Non-renewable waste
452,388,AUT,2010,612.61,Non-renewable waste
454,389,BEL,2010,702.553,Non-renewable waste
455,390,BGR,2010,3.392,Non-renewable waste
456,391,CYP,2010,7.141,Non-renewable waste
457,392,CZE,2010,200.822,Non-renewable waste
458,393,DEU,2010,3906.157,Non-renewable waste
459,394,DNK,2010,409.572,Non-renewable waste
460,395,EST,2010,0.0,Non-renewable waste
462,396,ESP,2010,322.248,Non-renewable waste
464,397,FIN,2010,146.15,Non-renewable waste
929,398,MLT,2011,831.754,Total
465,399,FRA,2010,1251.209,Non-renewable waste
467,400,HRV,2010,7.619,Non-renewable waste
468,401,HUN,2010,87.848,Non-renewable waste
469,402,IRL,2010,8.552,Non-renewable waste
470,403,ISL,2010,0.43,Non-renewable waste
471,404,ITA,2010,1041.058,Non-renewable waste
472,405,LTU,2010,0.0,Non-renewable waste
473,406,LUX,2010,30.787,Non-renewable waste
474,407,LVA,2010,28.208,Non-renewable waste
475,408,MDA,2010,0.0,Non-renewable waste
476,409,MNE,2010,0.0,Non-renewable waste
477,410,MKD,2010,0.0,Non-renewable waste
478,411,MLT,2010,0.0,Non-renewable waste
479,412,NLD,2010,724.539,Non-renewable waste
480,413,NOR,2010,162.37,Non-renewable waste
481,414,POL,2010,397.535,Non-renewable waste
482,415,PRT,2010,158.689,Non-renewable waste
483,416,ROU,2010,30.477,Non-renewable waste
484,417,SRB,2010,9.267,Non-renewable waste
485,418,SWE,2010,515.143,Non-renewable waste
486,419,SVN,2010,18.606,Non-renewable waste
487,420,SVK,2010,35.206,Non-renewable waste
488,421,TUR,2010,3.869,Non-renewable waste
489,422,UKR,2010,0.0,Non-renewable waste
492,423,ALB,2011,138.974,Solid fossil fuels
493,424,AUT,2011,3482.458,Solid fossil fuels
495,425,BEL,2011,3505.124,Solid fossil fuels
496,426,BGR,2011,8093.68,Solid fossil fuels
497,427,CYP,2011,7.46,Solid fossil fuels
498,428,CZE,2011,18300.811,Solid fossil fuels
499,429,DEU,2011,77965.871,Solid fossil fuels
500,430,DNK,2011,3234.475,Solid fossil fuels
501,431,EST,2011,29.079,Solid fossil fuels
503,432,ESP,2011,12716.137,Solid fossil fuels
505,433,FIN,2011,3948.281,Solid fossil fuels
506,434,FRA,2011,11279.263,Solid fossil fuels
508,435,HRV,2011,702.845,Solid fossil fuels
509,436,HUN,2011,2708.427,Solid fossil fuels
510,437,IRL,2011,1223.247,Solid fossil fuels
511,438,ISL,2011,90.73,Solid fossil fuels
512,439,ITA,2011,15331.374,Solid fossil fuels
513,440,LTU,2011,210.41,Solid fossil fuels
514,441,LUX,2011,59.128,Solid fossil fuels
515,442,LVA,2011,109.635,Solid fossil fuels
516,443,MDA,2011,118.986,Solid fossil fuels
517,444,MNE,2011,424.336,Solid fossil fuels
518,445,MKD,2011,1459.78,Solid fossil fuels
519,446,MLT,2011,0.0,Solid fossil fuels
520,447,NLD,2011,7439.357,Solid fossil fuels
521,448,NOR,2011,846.178,Solid fossil fuels
522,449,POL,2011,54638.924,Solid fossil fuels
