,Date,Country,Temperature
5212,2015-01,CHE,-1.0
5213,2015-02,CHE,-2.0
5214,2015-03,CHE,3.0
5215,2015-04,CHE,7.0
5216,2015-05,CHE,11.0
5217,2015-06,CHE,15.0
5218,2015-07,CHE,20.0
5219,2015-08,CHE,17.0
5220,2015-09,CHE,10.0
5221,2015-10,CHE,7.0
5222,2015-11,CHE,5.0
5223,2015-12,CHE,2.0
5224,2016-01,CHE,0.0
5225,2016-02,CHE,1.0
5226,2016-03,CHE,1.0
5227,2016-04,CHE,5.0
5228,2016-05,CHE,9.0
5229,2016-06,CHE,13.0
5230,2016-07,CHE,17.0
5231,2016-08,CHE,16.0
5232,2016-09,CHE,14.0
5233,2016-10,CHE,6.0
5234,2016-11,CHE,2.0
5235,2016-12,CHE,-1.0
5236,2017-01,CHE,-4.0
5237,2017-02,CHE,1.0
5238,2017-03,CHE,5.0
5239,2017-04,CHE,6.0
5240,2017-05,CHE,10.0
5241,2017-06,CHE,17.0
5242,2017-07,CHE,17.0
5243,2017-08,CHE,17.0
5244,2017-09,CHE,10.0
5245,2017-10,CHE,9.0
5246,2017-11,CHE,2.0
5247,2017-12,CHE,-1.0
5248,2018-01,CHE,2.0
5249,2018-02,CHE,-3.0
5250,2018-03,CHE,1.0
5251,2018-04,CHE,8.0
5252,2018-05,CHE,11.0
5253,2018-06,CHE,15.0
5254,2018-07,CHE,18.0
5255,2018-08,CHE,17.0
5256,2018-09,CHE,14.0
5257,2018-10,CHE,8.0
5258,2018-11,CHE,3.0
5259,2018-12,CHE,1.0
5260,2019-01,CHE,-3.0
5261,2019-02,CHE,1.0
5262,2019-03,CHE,4.0
5263,2019-04,CHE,5.0
5264,2019-05,CHE,7.0
5265,2019-06,CHE,16.0
5266,2019-07,CHE,18.0
5267,2019-08,CHE,17.0
5268,2019-09,CHE,13.0
5269,2019-10,CHE,9.0
5270,2019-11,CHE,2.0
5271,2019-12,CHE,2.0
5272,2020-01,CHE,0.0
5273,2020-02,CHE,3.0
5274,2020-03,CHE,3.0
5275,2020-04,CHE,8.0
5276,2020-05,CHE,11.0
5277,2020-06,CHE,13.0
5278,2020-07,CHE,17.0
5279,2020-08,CHE,17.0
5280,2020-09,CHE,13.0
5281,2020-10,CHE,6.0
5282,2020-11,CHE,4.0
5283,2020-12,CHE,-0.0
5284,2021-01,CHE,-2.0
5285,2021-02,CHE,2.0
5286,2021-03,CHE,2.0
5287,2021-04,CHE,4.0
5288,2021-05,CHE,7.0
5289,2021-06,CHE,15.0
5290,2021-07,CHE,15.0
5291,2021-08,CHE,15.0
5292,2021-09,CHE,13.0
5293,2021-10,CHE,7.0
5294,2021-11,CHE,2.0
5295,2021-12,CHE,0.0
5296,2022-01,CHE,-1.0
5297,2022-02,CHE,1.0
5298,2022-03,CHE,3.0
5299,2022-04,CHE,6.0
5300,2022-05,CHE,13.0
5301,2022-06,CHE,17.0
5302,2022-07,CHE,19.0
5303,2022-08,CHE,18.0
5304,2022-09,CHE,12.0
5305,2022-10,CHE,11.0
5306,2022-11,CHE,4.0
5307,2022-12,CHE,1.0
5308,2023-01,CHE,-0.0
5309,2023-02,CHE,1.0
5310,2023-03,CHE,4.0
5311,2023-04,CHE,5.0
5312,2023-05,CHE,11.0
5313,2023-06,CHE,16.0
5314,2023-07,CHE,18.0
5315,2023-08,CHE,17.0
