geo\TIME_PERIOD,indic,Date,GWH
IS,Imports,2008-06,
IT,Imports,2008-06,3010.0
LT,Imports,2008-06,456.0
LU,Imports,2008-06,611.0
LV,Imports,2008-06,379.0
ME,Imports,2008-06,
MK,Imports,2008-06,
MT,Imports,2008-06,
NL,Imports,2008-06,2265.0
NO,Imports,2008-06,119.0
PL,Imports,2008-06,449.0
PT,Imports,2008-06,871.0
RO,Imports,2008-06,78.0
RS,Imports,2008-06,
SE,Imports,2008-06,1089.0
SI,Imports,2008-06,364.0
SK,Imports,2008-06,466.0
TR,Imports,2008-06,
UK,Imports,2008-06,1287.0
XK,Imports,2008-06,
AL,Production,2008-06,
AT,Production,2008-06,
BA,Production,2008-06,
BE,Production,2008-06,
BG,Production,2008-06,
CY,Production,2008-06,
CZ,Production,2008-06,
DE,Production,2008-06,
DK,Production,2008-06,
EE,Production,2008-06,
EL,Production,2008-06,
ES,Production,2008-06,
EU27_2020,Production,2008-06,
FI,Production,2008-06,
FR,Production,2008-06,
HR,Production,2008-06,
HU,Production,2008-06,
IE,Production,2008-06,
IS,Production,2008-06,
IT,Production,2008-06,
LT,Production,2008-06,
LU,Production,2008-06,
LV,Production,2008-06,
ME,Production,2008-06,
MK,Production,2008-06,
MT,Production,2008-06,
NL,Production,2008-06,
NO,Production,2008-06,
PL,Production,2008-06,
PT,Production,2008-06,
RO,Production,2008-06,
RS,Production,2008-06,
SE,Production,2008-06,
SI,Production,2008-06,
SK,Production,2008-06,
TR,Production,2008-06,
UK,Production,2008-06,
XK,Production,2008-06,
AL,Consumption,2008-07,
AT,Consumption,2008-07,5297.0
BA,Consumption,2008-07,
BE,Consumption,2008-07,6895.0
BG,Consumption,2008-07,2540.0
CY,Consumption,2008-07,520.0
CZ,Consumption,2008-07,4821.0
DE,Consumption,2008-07,42058.0
DK,Consumption,2008-07,2654.0
EE,Consumption,2008-07,561.0
EL,Consumption,2008-07,5752.0
ES,Consumption,2008-07,23305.0
EU27_2020,Consumption,2008-07,
FI,Consumption,2008-07,6228.0
FR,Consumption,2008-07,35850.0
HR,Consumption,2008-07,
HU,Consumption,2008-07,3464.0
IE,Consumption,2008-07,2182.0
IS,Consumption,2008-07,
IT,Consumption,2008-07,31514.0
LT,Consumption,2008-07,808.0
LU,Consumption,2008-07,574.0
LV,Consumption,2008-07,543.0
ME,Consumption,2008-07,
MK,Consumption,2008-07,
MT,Consumption,2008-07,
NL,Consumption,2008-07,9243.0
NO,Consumption,2008-07,8004.0
PL,Consumption,2008-07,10860.0
PT,Consumption,2008-07,3496.0
RO,Consumption,2008-07,4452.0
RS,Consumption,2008-07,
SE,Consumption,2008-07,9393.0
SI,Consumption,2008-07,1135.0
SK,Consumption,2008-07,2074.0
TR,Consumption,2008-07,
UK,Consumption,2008-07,29132.0
XK,Consumption,2008-07,
AL,Imports,2008-07,
AT,Imports,2008-07,770.0
BA,Imports,2008-07,
BE,Imports,2008-07,1034.0
BG,Imports,2008-07,227.0
CY,Imports,2008-07,0.0
CZ,Imports,2008-07,751.0
DE,Imports,2008-07,4466.0
DK,Imports,2008-07,1555.0
EE,Imports,2008-07,157.0
EL,Imports,2008-07,394.0
ES,Imports,2008-07,505.0
EU27_2020,Imports,2008-07,
FI,Imports,2008-07,1210.0
FR,Imports,2008-07,643.0
HR,Imports,2008-07,
HU,Imports,2008-07,1001.0
IE,Imports,2008-07,59.0
IS,Imports,2008-07,
IT,Imports,2008-07,3818.0
LT,Imports,2008-07,424.0
LU,Imports,2008-07,635.0
LV,Imports,2008-07,465.0
ME,Imports,2008-07,
MK,Imports,2008-07,
MT,Imports,2008-07,
NL,Imports,2008-07,2131.0
NO,Imports,2008-07,109.0
PL,Imports,2008-07,702.0
PT,Imports,2008-07,810.0
RO,Imports,2008-07,92.0
RS,Imports,2008-07,
SE,Imports,2008-07,1168.0
SI,Imports,2008-07,409.0
SK,Imports,2008-07,559.0
TR,Imports,2008-07,
UK,Imports,2008-07,1381.0
XK,Imports,2008-07,
AL,Production,2008-07,
AT,Production,2008-07,
BA,Production,2008-07,
BE,Production,2008-07,
BG,Production,2008-07,
CY,Production,2008-07,
CZ,Production,2008-07,
DE,Production,2008-07,
DK,Production,2008-07,
EE,Production,2008-07,
EL,Production,2008-07,
ES,Production,2008-07,
EU27_2020,Production,2008-07,
FI,Production,2008-07,
FR,Production,2008-07,
HR,Production,2008-07,
HU,Production,2008-07,
IE,Production,2008-07,
IS,Production,2008-07,
IT,Production,2008-07,
LT,Production,2008-07,
LU,Production,2008-07,
LV,Production,2008-07,
ME,Production,2008-07,
MK,Production,2008-07,
MT,Production,2008-07,
NL,Production,2008-07,
NO,Production,2008-07,
PL,Production,2008-07,
PT,Production,2008-07,
RO,Production,2008-07,
RS,Production,2008-07,
SE,Production,2008-07,
SI,Production,2008-07,
SK,Production,2008-07,
TR,Production,2008-07,
UK,Production,2008-07,
XK,Production,2008-07,
AL,Consumption,2008-08,
AT,Consumption,2008-08,5086.0
BA,Consumption,2008-08,
BE,Consumption,2008-08,6833.0
BG,Consumption,2008-08,2560.0
CY,Consumption,2008-08,511.0
CZ,Consumption,2008-08,4757.0
DE,Consumption,2008-08,40603.0
DK,Consumption,2008-08,2820.0
EE,Consumption,2008-08,616.0
EL,Consumption,2008-08,5265.0
ES,Consumption,2008-08,22273.0
EU27_2020,Consumption,2008-08,
FI,Consumption,2008-08,6532.0
