,"freq,nrg_bal,siec,uni",",geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 "
88,"A,NRGSUP,E7000,KTOE,CZ	-1285.297 	-1465.520 	-1472.055 	-1452.021 	-1401.548 	-1076.096 	-943.594 	-1120.975 	-1195.795 	-1126.105 	-872.989 	-952.301 ",
89,"A,NRGSUP,E7000,KTOE,DE	-1285.899 	-323.732 	-1766.294 	-2768.100 	-2913.586 	-4151.505 	-4344.368 	-4510.662 	-4190.542 	-2808.856 	-1636.199 	-1597.163 ",
90,"A,NRGSUP,E7000,KTOE,DK	-97.592 	113.500 	448.323 	93.035 	245.486 	508.303 	434.832 	392.323 	449.213 	499.644 	591.795 	418.645 ",
91,"A,NRGSUP,E7000,KTOE,EE	-279.794 	-306.277 	-192.605 	-308.512 	-236.801 	-79.536 	-175.150 	-235.082 	-163.113 	185.469 	313.328 	226.056 ",
92,"A,NRGSUP,E7000,KTOE,EL	490.628 	277.902 	153.482 	162.253 	758.298 	826.139 	756.320 	536.285 	539.811 	855.030 	762.167 	316.767 ",
93,"A,NRGSUP,E7000,KTOE,ES	-716.509 	-523.732 	-962.941 	-580.482 	-292.863 	-11.436 	659.243 	788.392 	954.600 	590.054 	281.993 	73.297 ",
94,"A,NRGSUP,E7000,KTOE,EU27_2020	421.271 	83.096 	583.459 	-156.521 	-431.937 	-573.956 	55.581 	-393.439 	761.008 	253.201 	1200.542 	629.185 ",
95,"A,NRGSUP,E7000,KTOE,FI	902.923 	1191.058 	1499.914 	1351.247 	1544.884 	1404.729 	1629.493 	1756.234 	1714.187 	1723.302 	1298.710 	1527.773 ",
96,"A,NRGSUP,E7000,KTOE,FR	-2640.843 	-4850.645 	-3828.117 	-4166.896 	-5777.300 	-5508.426 	-3568.444 	-3450.461 	-5414.161 	-4958.474 	-3872.674 	-3860.039 ",
97,"A,NRGSUP,E7000,KTOE,GE	: 	: 	: 	2.923 	21.410 	3.353 	-6.879 	69.776 	79.123 	118.925 	125.219 	138.882 ",
98,"A,NRGSUP,E7000,KTOE,HR	341.187 	615.219 	638.951 	332.674 	339.897 	583.749 	475.580 	597.911 	463.250 	527.343 	398.908 	340.585 ",
99,"A,NRGSUP,E7000,KTOE,HU	446.690 	571.195 	685.039 	1021.238 	1151.333 	1176.784 	1092.949 	1107.309 	1233.706 	1082.029 	1004.041 	1096.647 ",
100,"A,NRGSUP,E7000,KTOE,IE	40.441 	42.141 	35.552 	192.794 	184.786 	57.899 	-61.199 	-58.341 	-2.384 	55.420 	-13.057 	136.508 ",
101,"A,NRGSUP,E7000,KTOE,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
102,"A,NRGSUP,E7000,KTOE,IT	3797.077 	3932.244 	3706.191 	3623.216 	3758.899 	3987.790 	3183.749 	3246.831 	3774.616 	3279.556 	2768.735 	3679.261 ",
103,"A,NRGSUP,E7000,KTOE,LT	515.047 	579.450 	569.132 	597.248 	655.460 	619.776 	711.522 	746.105 	828.246 	803.405 	680.009 	777.618 ",
104,"A,NRGSUP,E7000,KTOE,LU	349.393 	385.379 	353.424 	425.108 	420.790 	481.454 	541.591 	531.216 	529.780 	505.486 	469.895 	491.946 ",
105,"A,NRGSUP,E7000,KTOE,LV	75.064 	107.051 	145.400 	116.509 	199.226 	156.578 	88.822 	-5.517 	78.150 	96.137 	139.779 	152.419 ",
106,"A,NRGSUP,E7000,KTOE,MD	260.791 	270.507 	281.943 	286.500 	287.360 	285.039 	285.899 	293.379 	300.946 	301.032 	293.895 	310.146 ",
107,"A,NRGSUP,E7000,KTOE,ME	0.172 	134.308 	104.213 	-29.665 	22.442 	44.970 	26.139 	96.320 	-16.853 	21.720 	6.793 	-14.703 ",
108,"A,NRGSUP,E7000,KTOE,MK	122.098 	230.095 	229.493 	208.856 	254.514 	216.079 	174.613 	170.468 	165.068 	157.170 	200.052 	213.046 ",
109,"A,NRGSUP,E7000,KTOE,MT	0.000 	0.000 	0.000 	0.000 	0.000 	90.628 	131.272 	74.065 	53.374 	54.712 	35.733 	43.969 ",
110,"A,NRGSUP,E7000,KTOE,NL	238.607 	781.513 	1471.183 	1568.100 	1266.294 	752.204 	422.560 	301.480 	685.290 	73.537 	-228.680 	21.750 ",
111,"A,NRGSUP,E7000,KTOE,NO	649.097 	-264.402 	-1531.814 	-430.439 	-1340.069 	-1259.243 	-1411.092 	-1303.955 	-872.672 	3.783 	-1760.285 	-1511.936 ",
112,"A,NRGSUP,E7000,KTOE,PL	-116.423 	-450.731 	-244.196 	-388.736 	186.242 	-28.719 	171.883 	196.647 	489.639 	913.411 	1140.760 	76.335 ",
113,"A,NRGSUP,E7000,KTOE,PT	225.537 	241.874 	678.848 	238.693 	77.644 	194.841 	-437.231 	-230.780 	-228.458 	292.276 	125.216 	408.683 ",
114,"A,NRGSUP,E7000,KTOE,RO	-195.529 	-163.887 	21.754 	-173.345 	-612.726 	-578.504 	-431.384 	-248.807 	-218.782 	130.526 	240.096 	189.042 ",
115,"A,NRGSUP,E7000,KTOE,RS	-25.537 	-23.904 	33.448 	-218.143 	134.394 	-78.934 	-165.262 	70.942 	10.017 	6.504 	-52.039 	55.968 ",
116,"A,NRGSUP,E7000,KTOE,SE	178.676 	-621.926 	-1682.975 	-860.017 	-1343.336 	-1943.250 	-1009.028 	-1633.018 	-1480.911 	-2249.441 	-2149.355 	-2198.452 ",
117,"A,NRGSUP,E7000,KTOE,SI	-182.287 	-117.971 	-89.338 	-110.920 	-235.856 	-4.127 	-101.118 	-44.339 	-43.178 	-27.391 	-172.236 	-23.252 ",
118,"A,NRGSUP,E7000,KTOE,SK	89.510 	62.511 	33.792 	7.825 	94.755 	205.331 	227.945 	260.361 	316.595 	146.174 	27.429 	66.552 ",
119,"A,NRGSUP,E7000,KTOE,TR	-66.552 	78.332 	247.034 	533.276 	452.021 	338.865 	419.433 	-49.476 	-54.599 	-49.627 	-51.085 	-159.237 ",
120,"A,NRGSUP,E7000,KTOE,UA	-348.667 	-540.843 	-986.414 	-850.387 	-725.193 	-116.079 	-322.700 	-445.056 	-521.668 	-347.799 	-208.083 	: ",
121,"A,NRGSUP,E7000,KTOE,UK	228.805 	535.082 	1020.120 	1240.843 	1764.488 	1814.751 	1525.800 	1269.126 	1642.962 	1820.333 	: 	: ",
122,"A,NRGSUP,E7000,KTOE,XK	40.069 	35.942 	13.242 	-29.407 	42.218 	11.264 	-43.594 	31.153 	12.757 	2.021 	-27.306 	59.056 ",
123,"A,NRGSUP,G3000,KTOE,AL	11.565 	12.016 	13.220 	14.574 	24.828 	27.365 	34.965 	37.430 	32.310 	57.600 	41.208 	44.269 ",
124,"A,NRGSUP,G3000,KTOE,AT	8122.937 	7666.543 	7326.590 	7060.522 	6467.428 	6908.348 	7242.752 	7776.432 	7362.575 	7676.589 	7318.892 	7731.826 ",
125,"A,NRGSUP,G3000,KTOE,BA	: 	: 	: 	: 	151.827 	177.429 	184.695 	199.743 	199.055 	187.984 	171.475 	206.643 ",
126,"A,NRGSUP,G3000,KTOE,BE	16802.003 	14450.002 	14426.288 	14533.606 	12684.170 	13993.253 	14274.669 	14588.280 	15056.277 	15245.690 	15173.692 	15232.049 ",
